ra dec zspec source id
150.05467224 2.2333343 2.0833 3DHST 5379
150.07330322 2.23299599 2.45734 3DHST 5389
150.07344055 2.23331976 2.30026 3DHST 5415
150.05406189 2.23352909 2.06332 3DHST 5426
150.182724 2.23485756 2.21074 3DHST 5433
150.16139221 2.23495722 2.18834 3DHST 5530
150.12886047 2.23491001 2.35852 3DHST 5540
150.1913147 2.23587894 2.28215 3DHST 5571
150.07524109 2.23612976 2.1299 3DHST 5686
150.12519836 2.23659682 2.43666 3DHST 5706
150.11209106 2.23684978 2.24625 3DHST 5725
150.10090637 2.23657441 2.10185 3DHST 5735
150.12504578 2.23697925 2.1299 3DHST 5758
150.12483215 2.23697329 2.08638 3DHST 5803
150.16912842 2.23839569 2.16135 3DHST 5814
150.11598206 2.23819947 2.57334 3DHST 5871
150.07077026 2.23817825 2.18197 3DHST 5874
150.18940735 2.23814201 2.47815 3DHST 5901
150.09469604 2.23991251 2.04348 3DHST 6053
150.17185974 2.24070239 2.01169 3DHST 6159
150.17985535 2.24234605 2.20272 3DHST 6279
150.09811401 2.24283051 2.18356 3DHST 6347
150.07183838 2.24338531 2.25763 3DHST 6406
150.06376648 2.2439816 2.44699 3DHST 6429
150.1630249 2.24749112 2.12833 3DHST 6750
150.19360352 2.24792051 2.28215 3DHST 6817
150.10298157 2.2484169 2.4712 3DHST 6820
150.06489563 2.2486515 2.33676 3DHST 6875
