clamato_id ra dec zspec source id gmag rmag imag tomo_flag arcsec_to_COSMOS15_photometry mstar mstar_err sfr_nuv sfr_nuv_corr sfr_nuv_corr_err
55 150.11877441 2.26230001 2.19918 MOSDEF 8067 24.61 24.312 24.188 1 0.1682910655340277 3482695350.44 1172615711.28 10.523415683433571 20.036829435895225 12.468483133845488
56 150.07852173 2.26190209 2.16326 MOSDEF 8081 25.458 25.152 25.117 1 0.1479796383907574 1675837914.01 887811265.713 4.006108061250092 6.702580288198852 5.103656532612796
57 150.0662384 2.26312828 2.09787 MOSDEF 8188 25.438 25.253 24.929 1 0.005323605600495954 6573989604.28 3174877262.71 3.5569711564662536 11.073134329598826 5.223022817088868
58 150.08650208 2.2643168 2.49404 MOSDEF 8280 24.887 25.009 25.006 1 0.030114860963787075 17724206677.7 8050555139.0 7.396015674311224 28.497777289554854 10.785212214550327
59 150.0849762 2.26406002 2.19935 MOSDEF 8284 26.143 25.984 25.571 1 0.17982443129001732 322056518.871 187327269.595 1.3094410286925746 1.710637201727751 1.6084240114919777
60 150.14877319 2.2720511 2.19882 MOSDEF 9044 24.764 24.471 24.304 1 0.03058178587750982 7367378068.07 3480214317.67 6.9155720935846245 17.36934930220124 9.439739038325255
61 150.11193848 2.27758121 2.49153 MOSDEF 9638 25.575 25.206 25.223 1 0.062386964329974925 2132819866.79 998531347.835 5.33384075814241 9.074209535509768 6.6557209615427
62 150.06866455 2.27975321 2.12474 MOSDEF 9801 25.549 24.955 24.645 1 0.42808983678003004 76286279712.7 18479717624.6 5.156977735761648 32.84134703592722 7.083348273366526
63 150.07800293 2.281317 2.04388 MOSDEF 9973 25.965 25.802 25.501 1 0.7580298446350072 164412681519.0 26563320487.9 2.5524524983245063 14.712056048219862 3.6744419715726817
64 150.12136841 2.28514028 2.56196 MOSDEF 10056 26.584 25.572 25.277 1 0.08484431185275122 100079168622.0 39557824001.0 6.786727631020265 40.03596658552157 9.797373433778494
65 150.14494324 2.28239441 2.41336 MOSDEF 10066 25.061 24.774 24.625 1 0.008131941878121185 7100792561.59 3437447450.76 6.552823336744807 15.333526412994429 8.750462511093442
66 150.14953613 2.2830801 2.09757 MOSDEF 10085 25.999 25.63 25.657 1 0.049750321494719 32650334109.0 10935061684.4 2.0945675132993595 13.167630986128009 2.917326831335289
67 150.06163025 2.2831409 2.37748 MOSDEF 10143 24.501 24.319 24.266 1 0.24947213349563108 2423836480.82 949848116.819 9.22621799216571 12.980364723587691 10.25750547842645
68 150.1491394 2.28348541 2.5643 MOSDEF 10179 25.383 24.894 25.021 1 0.08218608004925543 8449858769.23 3831983455.09 7.175409284850942 18.903747118424143 9.674425185360658
69 150.12892151 2.28411531 2.09992 MOSDEF 10235 24.768 24.341 24.19 1 0.11626930133640538 7903314861.08 3717081989.68 7.979066362164646 19.603289369749394 10.682488271813572
70 150.14228821 2.28422689 2.19454 MOSDEF 10280 24.11 23.861 23.859 1 0.1261293882975548 4442806997.7 1461503751.96 12.069881390703033 22.530717195731874 14.056684324650744
71 150.08576965 2.28514099 2.10103 MOSDEF 10314 -99.0 -99.0 -99.0 1 0.5245755367536584 36299961044.7 15608224164.7 13.873622583751159 41.86245201474977 18.771096227667027
72 150.09515381 2.28778839 2.22007 MOSDEF 10626 24.712 24.484 24.36 1 0.2231261919687439 8082669589.19 3574474460.22 7.15080415057802 19.333918048245533 9.439036302690317
73 150.09527588 2.28790689 2.36332 MOSDEF 10657 -99.0 -99.0 -99.0 1 0.39818055096667837 8810385418.05 3909491220.3 8.135689145006452 21.208575757817073 10.712924665540495
74 150.07058716 2.28918958 2.24647 MOSDEF 10719 -99.0 -99.0 -99.0 1 0.23942419283631544 98373728743.6 28269135327.1 1.181448553850908 6.528910896876783 1.8321284829958873
75 150.07089233 2.28932238 2.25044 MOSDEF 10766 -99.0 -99.0 -99.0 1 0.9585496460632645 98801308244.8 28392006574.7 1.1828933079249604 6.536894884488127 1.8343689318765155
76 150.07392883 2.29798269 2.089 MOSDEF 11494 26.0 25.603 24.858 1 0.04169213711837576 435356265911.0 63045356808.9 3.4523603258587396 5.4207950927249815 4.344904918872393
77 150.11932373 2.29685378 2.09688 MOSDEF 11530 23.919 23.831 23.872 1 0.09408384144737947 1733119802.41 768588214.62 9.791653734512746 11.415773830656724 10.906081599430374
78 150.09049988 2.2973218 2.52736 MOSDEF 11597 26.014 25.608 25.687 1 0.05799228818245064 3660442002.62 1775569265.07 3.0665609025854037 6.284332681461585 4.326821783387018
79 150.06837463 2.29837227 2.1601 MOSDEF 11615 24.814 24.491 24.232 1 1.6740715279907854 120284234938.0 11414069031.3 28.539130011074366 34.67365061757301 33.59897641724045
80 150.13363647 2.30281043 2.41119 MOSDEF 12057 26.565 25.8 24.952 1 0.08166718694857635 103084460147.0 26180161209.1 2.815317109080201 4.438393363145973 4.532189858336912
81 150.09968567 2.31181264 2.44256 MOSDEF 12995 26.577 25.804 25.402 1 0.04589841384146811 135887095325.0 41439199383.1 3.0338605325530272 13.305269769370474 4.713787631024169
82 150.11509705 2.31529069 2.16715 MOSDEF 13296 -99.0 -99.0 -99.0 1 0.8782551010917115 28602958756.9 3256928539.31 34.75017398477387 118.93558317070917 37.28544948523842
83 150.11030579 2.31475353 2.30898 MOSDEF 13299 25.845 25.557 25.196 1 0.1445238815786585 10053832409.4 4622122905.46 4.855530053554669 17.800827377616287 7.126109534718967
84 150.13871765 2.31530762 2.15084 MOSDEF 13364 25.204 24.876 24.881 1 0.08003134079382354 3232946381.14 1648426255.61 3.680143063838646 7.561300335850949 4.998739678292851
85 150.11271667 2.31943941 2.1659 MOSDEF 13701 24.048 23.72 23.472 1 0.07195078311160322 39293905789.0 12668030422.8 14.450293042231607 58.65087756198466 18.68655867188011
86 150.08644104 2.3403616 2.56033 MOSDEF 15776 26.034 25.447 25.552 1 0.06461842681624105 7246822800.33 3450341895.67 3.7368226905140633 10.85572625175208 5.582022350105144
87 150.1207428 2.34443998 2.28596 MOSDEF 16141 25.036 24.713 24.613 1 0.05367785657617709 3366151251.36 1733391788.45 7.015983367222175 12.93698730286063 8.904580071031257
88 150.12252808 2.3471179 2.46909 MOSDEF 16342 25.319 24.625 24.534 1 0.06253820567756417 57748572231.6 20820286442.9 10.604298662320332 48.760871953535975 15.389259617727214
89 150.09768677 2.3481586 2.46688 MOSDEF 16482 25.701 25.01 24.782 1 0.1456632923564064 14681468941.0 6613643892.65 8.921445563511611 29.603990464636652 12.486789097932398
90 150.09420776 2.34853315 2.27504 MOSDEF 16545 23.642 23.32 23.234 1 0.18989185013462745 9150051652.08 2455941177.94 18.475643243925806 41.1172092390629 21.338527615713485
91 150.12495422 2.35021901 2.28628 MOSDEF 16594 24.692 24.329 24.296 1 0.07665499122421154 14188864333.8 6102137703.33 8.121190989183477 25.214200736808113 11.083993102777205
92 150.08807373 2.3502934 2.55348 MOSDEF 16609 24.976 24.394 24.337 1 0.08644372790511394 34116725809.2 13359056709.5 13.427260299797025 55.814020046544954 19.525395810702054
93 150.06829834 2.3602519 2.08697 MOSDEF 17762 25.154 24.802 24.788 1 0.12359481616076547 1765565606.95 949067121.814 3.4532353939282516 5.594648125767251 4.535186254827891
94 150.08358765 2.36336637 2.08504 MOSDEF 18086 -99.0 -99.0 -99.0 1 1.127306221105342 100826636415.0 14598020204.5 8.090628584733508 14.498700794111603 12.2603063210177
95 150.15029907 2.36412454 2.46502 MOSDEF 18116 -99.0 -99.0 -99.0 1 0.3295192893299298 246453734695.0 63699483242.6 54.749032285227706 156.66794418918957 77.21804779236751
96 150.13806152 2.36473179 2.32857 MOSDEF 18206 24.894 24.519 24.366 1 0.10322854255341626 3518078031.73 1848037659.84 7.834868639276505 13.38454817408274 9.72217490794169
97 150.1388855 2.36662579 2.4664 MOSDEF 18396 24.758 24.241 24.148 1 1.1603140057349408 37698714773.8 7437257780.42 27.760980717069582 33.41609964761438 38.0600956082727
98 150.13232422 2.36893296 2.00552 MOSDEF 18604 24.369 24.155 24.003 1 0.08687976460817791 7642553417.06 3171126547.49 7.875796440276656 18.756520863383354 10.307808300280275
99 150.12805176 2.36944342 2.46384 MOSDEF 18651 -99.0 -99.0 -99.0 1 0.12646598326065497 17258719935.2 7745525480.97 1.4764135662699267 8.58408599807535 2.10795911263399
100 150.12928772 2.36957431 2.08459 MOSDEF 18668 26.0 26.482 26.241 1 0.08950414990008254 86710229631.2 22240266773.2 0.8878144775949496 4.2336914109077615 1.4726907892757544
101 150.08647156 2.37146759 2.55539 MOSDEF 18859 24.871 24.051 23.75 1 0.1471473863664674 67338514413.6 8639089557.8 18.63267766065089 24.10942996521642 26.60946975724215
102 150.0973053 2.37178826 2.27374 MOSDEF 18924 24.504 24.369 24.373 1 0.03436372638749576 2579111263.09 1132132823.77 7.517847138655904 12.743293538629018 9.105550731543955
103 150.11199951 2.37263298 2.4571 MOSDEF 19013 24.387 24.088 23.998 1 0.0726043004626568 10132628176.7 4422074436.61 12.496251411082477 24.405054557102886 16.228131787789
104 150.14154053 2.37319231 2.46165 MOSDEF 19098 25.536 24.763 24.44 1 4.930262398157348 nan nan nan nan nan
105 150.10150146 2.37672329 2.46628 MOSDEF 19439 24.713 24.386 24.377 1 0.05574978474693606 12836458365.3 5893483006.99 11.503626024476482 27.455861629658482 15.292559471006282
106 150.10682678 2.37972808 2.48638 MOSDEF 19712 26.962 26.225 25.737 1 0.028169872994206015 8000127944.72 4043528440.49 2.7888253344901863 11.914487494657559 4.312722331812185
107 150.07575989 2.38064408 2.46941 MOSDEF 19753 23.72 23.354 23.273 1 0.012672716125910585 25186777235.4 10341257564.5 26.550784774110756 64.38480811392084 33.45968134443951
108 150.0665741 2.3811903 2.22138 MOSDEF 19886 -99.0 -99.0 -99.0 1 0.5294690879548346 13862981914.2 6396264314.4 16.116777617606168 45.98781263163697 22.981261578636794
109 150.05485535 2.38146949 2.04609 MOSDEF 19917 25.448 25.111 24.993 1 0.0787221896773699 4802340170.01 1439127671.45 4.116750901119247 14.979191496297213 5.197104143134568
